100 20 110 180
16.08136249172542 11.527302239607998 2 180 348.04484852873514
27.64838570372796 19.245465669108988 2 180 250.19907178221192
34.347081538443156 3.254149872541572 2 180 304.50047995278976
23.45599341886354 2.021036450788787 2 180 266.9539272054704
5.6511519754936845 19.648785991377878 2 180 12.781093177085845
14.111893549033834 1.5857442003427091 2 180 355.7799975122782
35.06590539377498 1.834741400194937 2 180 21.609948199537406
2.0774520295834353 3.4491951128542664 2 180 340.4670408962177
4.862893073893412 3.884468948880204 2 180 160.20609359402746
32.48458940984447 6.564506166486046 2 180 329.258859864565
69.34584831312068 0.20041009723488434 2 180 91.15881623997872
14.114086443827826 17.584573642289 2 180 357.73281640439484
4.944403713523925 8.124241068226656 2 180 188.61502866676162
15.869779029872685 17.586668463197974 2 180 9.266407523830594
45.3768936006063 3.0014165960725236 2 180 94.72917707816062
18.722497636219934 1.5412150814668846 2 180 164.1058773795008
21.85904767113107 10.880170647244093 2 180 349.3136466988814
43.955313397481156 2.991557743723632 2 180 46.25208014779753
5.819207499033509 12.86119634046748 2 180 151.22913683938327
36.757837024951684 7.153469389642382 2 180 156.27484122932552
10.533473729375165 2.433924773334948 2 180 227.96563519477607
22.362939280944552 2.690046151062875 2 180 350.7667188739972
9.284129751252372 17.09788195830768 2 180 347.9048160019655
22.50031375223149 2.585868158341156 2 180 146.58304482067015
5.6779420228038076 13.895608168172942 2 180 276.8697790753575
14.712555789360257 18.712766597515717 2 180 109.54554051057616
38.726857462848315 17.462280398600146 2 180 198.82802476037543
49.97221212418017 12.789677196504352 2 180 170.29412591009316
3.4231623437021295 12.674130991391701 2 180 175.2139584048448
4.162372734346342 12.494716371188492 2 180 39.963686123679324
50.04334904311657 12.363126369861169 2 180 326.59829377462444
3.3725038336579587 18.555283256968867 2 180 198.97258407436826
23.830966119825767 15.831891489201453 2 180 145.79850071647937
14.92249713295767 3.850481861985373 2 180 355.1949072891791
21.66984272874646 4.585595758000576 2 180 287.5680388606961
4.239588570891283 15.10095805231899 2 180 343.03235020324905
10.288893001759444 7.894202445945433 2 180 184.41651583144
10.40381343708595 1.848206949193163 2 180 120.4112605206357
10.393133416560742 19.169217773962806 2 180 201.7200038651976
61.61140447300729 5.454963419547192 2 180 332.6390697488075
25.43131129653281 2.906555457210316 2 180 302.0244180614203
11.2180393907991 16.169345067823723 2 180 14.620021788700779
27.67817777383931 15.896475267026114 2 180 285.39646500138116
45.35987668851797 11.32935613664522 2 180 178.53481515994966
27.252606822276128 1.8804695215395473 2 180 300.03086799631416
2.461498646607607 19.04513457385454 2 180 333.2413969529614
7.8592998358775334 8.753547416210418 2 180 118.39997620994171
8.343092700708256 4.750271922298759 2 180 332.986552342434
0.7539288333189165 6.24132822545856 2 180 95.4778951301617
14.641987641967805 12.489653032074566 2 180 333.2886050252769
1.537102716270076 0.7598034417998756 2 180 66.55567791770878
17.618198704296724 17.400853275425487 2 180 195.94262949910768
40.71014580266834 15.489261250500562 2 180 25.583145792891493
49.03281938534748 3.3031910687072097 2 180 176.01989501500356
12.59502284184878 6.72280006154756 2 180 6.645708130022547
35.06579059806139 11.449414606578838 2 180 242.61430860914956
14.343713878724586 3.0067919228468365 2 180 290.057671233778
6.17425679808245 19.198625400963714 2 180 41.189438949555196
6.6111626009127145 8.760714451227823 2 180 202.69625653876335
2.7530313714097536 15.576830708013329 2 180 186.08224196396674
18.93203481414508 7.7946161011862625 2 180 94.80865576872641
23.613831412298072 13.407341685679652 2 180 112.53233091998179
