100 20 50 0.1 0.1
35.53764841812951 5.639064328971344 2 10 60 279.88411243417215
69.92650704171011 5.096721701413935 2 10 60 54.07354230502905
63.50980689543214 12.262170498545213 2 10 60 259.1951403180359
37.34486265751918 18.840753393917385 2 10 60 318.52516894886463
76.93390424102641 15.36709466404222 2 10 60 66.00164662679188
64.80081756252105 9.989420703445287 2 10 60 207.56625547445992
64.16926023836255 2.9083484247033597 2 10 60 127.2699123371999
93.32997332028734 8.478359969818188 2 10 60 40.174145277142195
62.02664137404297 6.478885766376785 2 10 60 258.15580893021576
53.036590675797676 17.49201691665271 2 10 60 84.26488296660378
75.69203331836313 2.911623854452723 2 10 60 260.28083112071306
65.24880883964997 10.83999282898586 2 10 60 94.30940503117773
41.815500247646156 2.5203551734253105 2 10 60 347.5977686103984
35.03186709609451 3.7121083794152776 2 10 60 343.7695588189453
41.316096637362485 5.990132727810895 2 10 60 145.73906390920774
57.28305935199229 3.633073568758176 2 10 60 57.78758325517356
29.39971504138534 17.597729787235696 2 10 60 345.66497505176955
23.93621455912385 0.4467090800178952 2 10 60 43.64604557756225
61.77280457467437 6.556934849956074 2 10 60 174.37646877913437
62.05946104740869 18.372073398219026 2 10 60 147.36076234644446
51.75473070109648 14.37636629991884 2 10 60 168.68715397434661
49.48143610024931 10.781055718365343 2 10 60 251.44716109319654
37.65322680164881 9.286794104553938 2 10 60 174.9427355513801
66.01074373951559 4.60285361839468 2 10 60 91.60633912877232
80.4210136551678 0.7008781506275463 2 10 60 28.64295043879042
35.32134288040207 10.481729446228522 2 10 60 222.1312644728733
7.893449050371643 0.5333402625393413 2 10 60 211.79234381946637
43.74684269964464 5.3793918065313235 2 10 60 137.68071476810655
46.549830864988465 13.819119386005621 2 10 60 329.2412324008174
39.592567675986714 13.663703773681455 2 10 60 332.2801185807454
49.83582601324956 9.7685960148521 2 10 60 333.1580681048307
42.496641581403445 2.3650845562684997 2 10 60 317.6782917702758
39.99893434322146 14.102725447934507 2 10 60 210.10902692673702
46.90922316741606 6.77734824973629 2 10 60 58.339280886279695
63.94469325360133 3.6895396180446305 2 10 60 319.14054021397214
27.8711001457292 18.55972357080591 2 10 60 38.32251944314491
16.79903261250344 11.192062436233618 2 10 60 251.0256267562533
63.68729985710563 13.652803917349111 2 10 60 238.1740273414791
44.02025183522264 8.233994969819257 2 10 60 305.82622482127164
60.42517257703314 19.40715531133781 2 10 60 112.9112627835855
52.538045128861654 14.653602306733415 2 10 60 303.65059693648476
26.665197634158325 6.155571240432196 2 10 60 263.55445022508434
12.090172926461008 4.470830541818572 2 10 60 255.57902785232713
49.733928315749836 8.91752725391666 2 10 60 285.88367317608396
38.30187054907542 18.522894050676925 2 10 60 159.9507813595452
73.46310048828794 19.94854595595057 2 10 60 115.75355670447061
25.297802770679517 13.177077047304536 2 10 60 323.43341309011265
74.84849651200577 16.441947364500585 2 10 60 228.0716111613554
58.433375064651614 14.51644880238954 2 10 60 114.53963091341772
41.73607180174294 12.922150801317898 2 10 60 117.26247204147141
